orgao_julgador,frequencia,percentagem
2º Juizado Especial Federal de Vitória,56626,1.62
1ª Vara Federal de Serra,44863,1.28
Gabinete da Vice-Presidência,40252,1.15
Vara Federal de Macaé,39210,1.12
Vara Federal de Colatina,38608,1.1
1º Juizado Especial Federal de Vitória,38204,1.09
3º Juizado Especial Federal de Vitória,37994,1.09
Vara Federal de Itaperuna,37747,1.08
5ª Vara Federal do Rio de Janeiro,34801,0.99
1ª Vara Federal do Rio de Janeiro,33042,0.94
15ª Vara Federal do Rio de Janeiro,32955,0.94
Vara Federal de São Mateus,32847,0.94
3ª Vara federal de cachoeiro de itapemirim,32632,0.93
4ª Vara de Execução Fiscal de Vitória,32105,0.92
35ª Vara Federal do Rio de Janeiro,31837,0.91
Vara Federal de Linhares,31811,0.91
3ª Vara de Execução Fiscal de Vitória,31723,0.91
33ª Vara Federal do Rio de Janeiro,31695,0.91
2ª Vara de Execução Fiscal de Vitória,31671,0.91
34ª Vara Federal do Rio de Janeiro,31318,0.9
Restantes (317 órgãos),2777032,79.37
