classe_processual,n,percentagem,percentagem_acumulada
Procedimento do Juizado Especial Cível,1088503,31.11,31.11
Cumprimento de Sentença contra a Fazenda Pública,414072,11.83,42.94
Execução Fiscal,378423,10.81,53.75
Recurso Inominado Cível,340163,9.72,63.47
Cumprimento de sentença,244862,7.0,70.47
Apelação Cível,211360,6.04,76.51
Outras classes,171250,4.89,81.4
Procedimento Comum Cível,162383,4.64,86.04
Mandado de Segurança Cível,148964,4.26,90.3
Agravo de Instrumento,119183,3.41,93.71
Execução de Título Extrajudicial,78127,2.23,95.94
Apelação / Remessa Necessária,38006,1.09,97.03
Carta Precatória Cível,35991,1.03,98.06
Remessa Necessária Cível,29281,0.84,98.9
Embargos à Execução,19489,0.56,99.46
Embargos à Execução Fiscal,18916,0.54,100.0
