classe_processual,pct_censura,pct_evento,n
Agravo de Instrumento,6.43,93.57,119183
Apelação / Remessa Necessária,15.41,84.59,38006
Apelação Cível,10.27,89.73,211360
Carta Precatória Cível,2.26,97.74,35991
Cumprimento de Sentença contra a Fazenda Pública,16.52,83.48,414072
Cumprimento de sentença,15.34,84.66,244862
Embargos à Execução,14.43,85.57,19489
Embargos à Execução Fiscal,19.4,80.6,18916
Execução Fiscal,47.04,52.96,378423
Execução de Título Extrajudicial,42.55,57.45,78127
Mandado de Segurança Cível,11.73,88.27,148964
Outras classes,17.21,82.79,171250
Procedimento Comum Cível,36.95,63.05,162383
Procedimento do Juizado Especial Cível,11.48,88.52,1088503
Recurso Inominado Cível,5.78,94.22,340163
Remessa Necessária Cível,0.77,99.23,29281
