orgao_julgador,n,mediana_terminados
2º Juizado Especial Federal de Vitória,56626,670.0
1ª Vara Federal de Serra,44863,530.4
Gabinete da Vice-Presidência,40252,674.0
Vara Federal de Macaé,39210,508.1
Vara Federal de Colatina,38608,522.0
1º Juizado Especial Federal de Vitória,38204,444.0
3º Juizado Especial Federal de Vitória,37994,444.6
Vara Federal de Itaperuna,37747,465.0
5ª Vara Federal do Rio de Janeiro,34801,659.8
1ª Vara Federal do Rio de Janeiro,33042,492.8
15ª Vara Federal do Rio de Janeiro,32955,468.9
Vara Federal de São Mateus,32847,575.1
3ª Vara federal de cachoeiro de itapemirim,32632,494.4
4ª Vara de Execução Fiscal de Vitória,32105,1332.0
35ª Vara Federal do Rio de Janeiro,31837,429.9
Vara Federal de Linhares,31811,636.1
3ª Vara de Execução Fiscal de Vitória,31723,1199.8
33ª Vara Federal do Rio de Janeiro,31695,580.9
2ª Vara de Execução Fiscal de Vitória,31671,1210.9
34ª Vara Federal do Rio de Janeiro,31318,449.0
Gabinete do Juízo Gestor das Turmas Recursais,28863,434.6
11º Juizado Especial Federal,28271,378.1
6º Juizado Especial Federal do Rio de Janeiro,28019,346.6
8º Juizado Especial Federal do Rio de Janeiro,27963,331.7
7º Juizado Especial Federal do Rio de Janeiro,27924,343.3
2ª Vara Federal de São Pedro da Aldeia,27720,467.8
9º Juizado Especial Federal do Rio de Janeiro,27483,294.3
1ª Vara Federal de Campos,27059,704.9
Vara Federal de Magé,26212,580.1
3ª Vara Federal de Duque de Caxias,25060,358.2
