classe_processual,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025
Procedimento do Juizado Especial Cível,7567,14169,35850,94989,135506,81096,203157,100385,173525,106345,135914
Cumprimento de Sentença contra a Fazenda Pública,4789,7117,7910,13964,31218,43069,53850,57664,62733,66961,64797
Execução Fiscal,45770,45814,40309,25338,28179,29579,29210,29524,38074,28151,38475
Recurso Inominado Cível,1552,1690,2111,4816,24329,43526,50886,41333,50389,56999,62532
Cumprimento de sentença,5927,6917,9830,15611,24215,29115,35873,34529,34196,29605,19044
Apelação Cível,6448,6584,10205,17571,22288,25923,28087,23211,22275,23275,25493
Outras classes,5303,6843,9334,14510,19980,17697,18421,16909,22798,21656,17799
Procedimento Comum Cível,6031,7239,7964,10225,15498,12185,16920,15726,24330,19114,27151
Mandado de Segurança Cível,1248,1416,3231,5312,17204,15235,20854,21423,21873,19142,22026
Agravo de Instrumento,1057,1931,4400,9869,12673,15133,14483,14097,15183,14556,15801
Execução de Título Extrajudicial,3460,5992,6645,15994,7293,4097,4442,6372,6634,8834,8364
Apelação / Remessa Necessária,1863,2032,2359,3662,3995,4795,4764,4121,3864,3278,3273
Carta Precatória Cível,34,49,147,1317,5456,4299,3435,4181,4518,4894,7661
Remessa Necessária Cível,168,254,331,1021,2376,3002,3505,4669,4475,5087,4393
Embargos à Execução,1455,975,671,2683,2871,1293,1958,1867,1757,1974,1985
Embargos à Execução Fiscal,1665,1677,1789,1644,1208,1295,1959,1827,2230,1919,1703
