classe_processual,orgao_julgador,ano_ajuizamento,n,t_orgao_d,t_restantes_d,racio,S_2anos,alerta
Agravo de Instrumento,Gabinete da Vice-Presidência,2022,527,2143.4904785156255,319.42312622070324,6.710504977759799,0.8683888195234009,True
Apelação / Remessa Necessária,Gabinete da Vice-Presidência,2022,590,2009.0308837890623,404.3545837402344,4.968487967184031,0.8534897541708109,True
Apelação Cível,Gabinete da Vice-Presidência,2022,1432,1980.368530273438,402.045135498047,4.925736827583275,0.8500372765954377,True
Recurso Inominado Cível,Gabinete do Juízo Gestor das Turmas Recursais,2022,2502,511.56756591796864,164.50728607177734,3.109695492117978,0.3559456870142368,True
Recurso Inominado Cível,4ª Turma Recursal - Juiz Relator 2 - RJ,2022,1498,502.32406616210926,164.50728607177734,3.0535064929764673,0.34891308810493993,True
Outras classes,Gabinete da Vice-Presidência,2022,117,768.3560791015627,253.20555114746102,3.0345151424191723,0.5212094777330978,True
Cumprimento de sentença,1ª Vara federal de cachoeiro de itapemirim,2022,121,1532.525024414063,600.1885986328127,2.553405759298072,0.779442437931241,True
Procedimento Comum Cível,1ª Vara federal de cachoeiro de itapemirim,2022,181,1741.0032958984373,723.6516723632814,2.405858180653017,0.8166811692388353,True
Procedimento do Juizado Especial Cível,1ª Vara federal de cachoeiro de itapemirim,2022,1438,909.9540405273439,387.5628356933592,2.3478877661203357,0.5905158208462049,True
Cumprimento de Sentença contra a Fazenda Pública,1ª Vara federal de cachoeiro de itapemirim,2022,112,1383.9466552734373,594.786865234375,2.3267942454110764,0.7467796076836464,True
Recurso Inominado Cível,Gabinete do Juízo Vice-Gestor das Turmas Recursais,2022,699,354.5110168457031,164.50728607177734,2.1549867201080923,0.2265545333083463,True
Outras classes,8ª Vara Federal do Rio de Janeiro,2022,132,537.8032226562502,253.20555114746102,2.123978799908088,0.3754815555822215,True
Recurso Inominado Cível,5ª Turma Recursal - Juiz Relator 3 - RJ,2022,1422,330.6280212402343,164.50728607177734,2.009807766787762,0.20534360906379245,True
Outras classes,1ª Vara Federal de Niterói,2022,91,497.2285156250001,253.20555114746102,1.9637346549935069,0.34500309692465136,False
Outras classes,4ª Vara Federal de Vitória,2022,267,476.4075012207031,253.20555114746102,1.8815049633064895,0.32878260542725934,False
Execução Fiscal,5ª Vara Federal de Niterói,2022,933,2229.1950683593755,1220.9298095703123,1.8258175456817676,0.8768796129143306,False
Outras classes,1ª Vara federal de cachoeiro de itapemirim,2022,109,439.0887451171876,253.20555114746102,1.734119742349063,0.298748189194149,False
Procedimento do Juizado Especial Cível,3ª Vara Federal de Volta Redonda,2022,554,661.5225219726561,387.5628356933592,1.7068781138139226,0.45925521938508507,False
Outras classes,14ª Vara Federal do Rio de Janeiro,2022,152,421.1354064941406,253.20555114746102,1.6632155360957357,0.2838757668907461,False
Procedimento Comum Cível,9ª Vara Federal,2022,378,1152.6247558593752,723.6516723632814,1.5927894591816054,0.6823992057160739,False
Cumprimento de sentença,14ª Vara Federal do Rio de Janeiro,2022,81,946.6984252929692,600.1885986328127,1.5773349034778092,0.6064158915043802,False
Procedimento do Juizado Especial Cível,1ª Vara Federal de Volta Redonda,2022,538,607.8999633789061,387.5628356933592,1.568519753168176,0.4246101168987584,False
Recurso Inominado Cível,5ª Turma Recursal - Juiz Relator 1 - RJ,2022,427,253.4559631347656,164.50728607177734,1.5406974924148857,0.1359343603457478,False
Outras classes,23ª Vara Federal do Rio de Janeiro,2022,145,388.91961669921875,253.20555114746102,1.53598376866833,0.2565475972145437,False
Outras classes,11ª Vara Federal do Rio de Janeiro,2022,106,382.2272644042969,253.20555114746102,1.509553256917723,0.250774522177475,False
Procedimento do Juizado Especial Cível,1ª Vara Federal de Duque de Caxias,2022,1526,584.9987182617186,387.5628356933592,1.5094293476698866,0.40904613575134774,False
Mandado de Segurança Cível,8ª Vara Federal do Rio de Janeiro,2022,147,419.58938598632795,281.6928100585938,1.4895282059171153,0.2825827092064048,False
Procedimento do Juizado Especial Cível,Vara Federal de Angra dos Reis,2022,681,573.538024902344,387.5628356933592,1.4798581599710683,0.4010810148957381,False
Outras classes,24ª Vara Federal do Rio de Janeiro,2022,216,374.1419982910158,253.20555114746102,1.4776216263644402,0.2437591737114857,False
Cumprimento de Sentença contra a Fazenda Pública,Vara Federal de Angra dos Reis,2022,177,868.8114013671874,594.786865234375,1.460710469833313,0.571743417492764,False
Cumprimento de Sentença contra a Fazenda Pública,28ª Vara Federal do Rio de Janeiro,2022,106,860.6152343749999,594.786865234375,1.4469304631262756,0.5678760738724475,False
Outras classes,10ª Vara Federal do Rio de Janeiro,2022,93,361.38592529296875,253.20555114746102,1.4272432956357501,0.23260587310077108,False
Cumprimento de sentença,Vara Federal de Angra dos Reis,2022,345,854.815368652344,600.1885986328127,1.4242445967810002,0.5651130987718359,False
Cumprimento de sentença,9ª Vara Federal,2022,490,854.0391845703124,600.1885986328127,1.4229513631477728,0.5647416684908608,False
Cumprimento de sentença,1ª Vara Federal de Volta Redonda,2022,94,847.7248535156252,600.1885986328127,1.4124307850010525,0.5617053336688146,False
Mandado de Segurança Cível,1ª Vara Federal de Volta Redonda,2022,87,397.87158203124994,281.6928100585938,1.4124307324297352,0.26422005028273854,False
Outras classes,2ª Vara Federal de Campos,2022,284,357.31295776367193,253.20555114746102,1.4111576785912612,0.22902405666883463,False
Cumprimento de Sentença contra a Fazenda Pública,1ª Vara Federal de Volta Redonda,2022,139,836.5798339843751,594.786865234375,1.4065203569260425,0.5562815755397779,False
Execução de Título Extrajudicial,14ª Vara Federal do Rio de Janeiro,2022,193,1016.7591552734377,723.9683227539062,1.4044249220819265,0.634631741277065,False
Outras classes,2ª Vara Federal de Volta Redonda,2022,140,354.9008789062501,253.20555114746102,1.4016315096487126,0.22689840387136806,False
