classe_processual,orgao_julgador,n
Agravo de Instrumento,Gabinete da Vice-Presidência,7909
Agravo de Instrumento,GABINETE 24,5606
Agravo de Instrumento,GABINETE 23,5327
Agravo de Instrumento,GABINETE 13,5280
Agravo de Instrumento,GABINETE 19,5005
Agravo de Instrumento,GABINETE 15,4961
Agravo de Instrumento,GABINETE 21,4961
Agravo de Instrumento,GABINETE 14,4924
Agravo de Instrumento,GABINETE 16,4885
Agravo de Instrumento,GABINETE 17,4847
Agravo de Instrumento,GABINETE 22,4794
Agravo de Instrumento,GABINETE 10,4699
Agravo de Instrumento,GABINETE 20,4640
Agravo de Instrumento,GABINETE 18,4593
Agravo de Instrumento,GABINETE 09,4440
Agravo de Instrumento,GABINETE 11,4324
Agravo de Instrumento,GABINETE 12,4231
Agravo de Instrumento,GABINETE 08,3946
Agravo de Instrumento,GABINETE 07,3830
Agravo de Instrumento,GABINETE 31,2605
Agravo de Instrumento,GABINETE 29,2534
Agravo de Instrumento,GABINETE 30,2445
Agravo de Instrumento,GABINETE 32,2293
Agravo de Instrumento,GABINETE 28,2275
Agravo de Instrumento,GABINETE 27,2257
Agravo de Instrumento,GABINETE 02,1844
Agravo de Instrumento,GABINETE 05,1638
Agravo de Instrumento,GABINETE 04,1585
Agravo de Instrumento,GABINETE 06,1525
Agravo de Instrumento,GABINETE 01,1515
Agravo de Instrumento,GABINETE 03,1443
Agravo de Instrumento,GABINETE 26,675
Agravo de Instrumento,GABINETE 25,494
Agravo de Instrumento,GABINETE 34 - JFC,220
Agravo de Instrumento,GABINETE 36 - JFC,203
Agravo de Instrumento,GABINETE 33 - JFC,199
Agravo de Instrumento,GABINETE 35 - JFC,160
Agravo de Instrumento,CORREGEDORIA,60
Agravo de Instrumento,GABINETE PRESIDÊNCIA - TRU,7
Agravo de Instrumento,Coordenadoria de Cumprimento de Diligências e Distribuição,3
Agravo de Instrumento,GABINETE 18 - RJ PREV - TRU,1
Apelação / Remessa Necessária,Gabinete da Vice-Presidência,7702
Apelação / Remessa Necessária,GABINETE 05,1574
Apelação / Remessa Necessária,GABINETE 06,1516
Apelação / Remessa Necessária,GABINETE 09,1377
Apelação / Remessa Necessária,GABINETE 02,1369
Apelação / Remessa Necessária,GABINETE 01,1317
Apelação / Remessa Necessária,GABINETE 12,1260
Apelação / Remessa Necessária,GABINETE 24,1257
Apelação / Remessa Necessária,GABINETE 03,1230
Apelação / Remessa Necessária,GABINETE 07,1222
Apelação / Remessa Necessária,GABINETE 10,1144
Apelação / Remessa Necessária,GABINETE 08,1134
Apelação / Remessa Necessária,GABINETE 04,1078
Apelação / Remessa Necessária,GABINETE 22,1013
Apelação / Remessa Necessária,GABINETE 23,1003
Apelação / Remessa Necessária,GABINETE 11,992
Apelação / Remessa Necessária,GABINETE 15,896
Apelação / Remessa Necessária,GABINETE 13,872
Apelação / Remessa Necessária,GABINETE 19,848
Apelação / Remessa Necessária,GABINETE 20,827
Apelação / Remessa Necessária,GABINETE 21,798
Apelação / Remessa Necessária,GABINETE 14,760
Apelação / Remessa Necessária,GABINETE 26,740
Apelação / Remessa Necessária,GABINETE 17,726
Apelação / Remessa Necessária,GABINETE 18,696
Apelação / Remessa Necessária,GABINETE 16,681
Apelação / Remessa Necessária,GABINETE 25,609
Apelação / Remessa Necessária,GABINETE 28,609
Apelação / Remessa Necessária,GABINETE 27,542
Apelação / Remessa Necessária,GABINETE 29,453
Apelação / Remessa Necessária,GABINETE 32,450
Apelação / Remessa Necessária,GABINETE 31,420
Apelação / Remessa Necessária,GABINETE 30,338
Apelação / Remessa Necessária,GABINETE 34 - JFC,170
Apelação / Remessa Necessária,GABINETE 33 - JFC,155
Apelação / Remessa Necessária,GABINETE 35 - JFC,107
Apelação / Remessa Necessária,GABINETE 36 - JFC,106
Apelação / Remessa Necessária,CORREGEDORIA,12
Apelação / Remessa Necessária,Coordenadoria de Cumprimento de Diligências e Distribuição,3
Apelação Cível,Gabinete da Vice-Presidência,23159
Apelação Cível,GABINETE 23,8461
Apelação Cível,GABINETE 24,8301
Apelação Cível,GABINETE 20,7931
Apelação Cível,GABINETE 17,7749
Apelação Cível,GABINETE 21,7737
Apelação Cível,GABINETE 13,7587
Apelação Cível,GABINETE 18,7527
Apelação Cível,GABINETE 15,7422
Apelação Cível,GABINETE 02,7360
Apelação Cível,GABINETE 16,7345
Apelação Cível,GABINETE 19,7268
Apelação Cível,GABINETE 22,7236
Apelação Cível,GABINETE 06,6993
Apelação Cível,GABINETE 05,6747
Apelação Cível,GABINETE 14,6746
Apelação Cível,GABINETE 01,6377
Apelação Cível,GABINETE 03,5962
Apelação Cível,GABINETE 04,5895
Apelação Cível,GABINETE 12,4635
Apelação Cível,GABINETE 32,4552
Apelação Cível,GABINETE 31,4478
Apelação Cível,GABINETE 08,4370
Apelação Cível,GABINETE 09,4278
Apelação Cível,GABINETE 26,4262
Apelação Cível,GABINETE 10,4255
Apelação Cível,GABINETE 29,4033
Apelação Cível,GABINETE 07,3893
Apelação Cível,GABINETE 25,3826
Apelação Cível,GABINETE 11,3704
Apelação Cível,GABINETE 30,3610
Apelação Cível,GABINETE 28,2383
Apelação Cível,GABINETE 27,1993
Apelação Cível,GABINETE 34 - JFC,1113
Apelação Cível,GABINETE 33 - JFC,884
Apelação Cível,GABINETE 36 - JFC,713
Apelação Cível,GABINETE 35 - JFC,452
Apelação Cível,CORREGEDORIA,93
Apelação Cível,Coordenadoria de Cumprimento de Diligências e Distribuição,29
Apelação Cível,7ª Turma Especializada,1
