processo_id,numero_cnj,classe_processual,orgao_julgador,ano_ajuizamento,t_previsto_d,S_2anos,faixa
TRF2_JE_50074654020234025120,5007465-40.2023.4.02.5120,Cumprimento de Sentença contra a Fazenda Pública,5ª Vara Federal de Nova Iguaçu,2023,421.5119018554688,0.28419036772102724,Muito rápido
TRF2_JE_50067258220234025120,5006725-82.2023.4.02.5120,Procedimento do Juizado Especial Cível,5ª Vara Federal de Nova Iguaçu,2023,228.54096984863273,0.11386133152973443,Muito rápido
TRF2_JE_50077466420214025120,5007746-64.2021.4.02.5120,Procedimento do Juizado Especial Cível,5ª Vara Federal de Nova Iguaçu,2021,254.29574584960938,0.13668528300356253,Muito rápido
TRF2_JE_50829239120214025101,5082923-91.2021.4.02.5101,Procedimento do Juizado Especial Cível,Centro de Solução de Conflitos e Cidadania,2021,231.68656921386716,0.11662135242567817,Muito rápido
TRF2_JE_50066533420234025108,5006653-34.2023.4.02.5108,Cumprimento de Sentença contra a Fazenda Pública,1ª Vara Federal de São Pedro da Aldeia,2023,586.2679443359373,0.40992097662532245,Rápido
TRF2_JE_50024084720234025118,5002408-47.2023.4.02.5118,Cumprimento de sentença,4ª Vara Federal de Duque de Caxias,2023,577.0889892578123,0.4035615658833924,Rápido
TRF2_JE_50131750620204025101,5013175-06.2020.4.02.5101,Procedimento do Juizado Especial Cível,8º Juizado Especial Federal do Rio de Janeiro,2020,264.2921142578124,0.14564746337886636,Rápido
TRF2_JE_50023794120204025105,5002379-41.2020.4.02.5105,Cumprimento de Sentença contra a Fazenda Pública,2ª Vara Federal de Nova Friburgo,2020,525.0447387695311,0.36605972701124445,Rápido
TRF2_G2_00135792720174020000,0013579-27.2017.4.02.0000,Agravo de Instrumento,GABINETE 10,2017,790.4385375976561,0.5329231038132918,Típico
TRF2_G1_50683230220204025101,5068323-02.2020.4.02.5101,Execução Fiscal,7ª Vara de Execução Fiscal do Rio de Janeiro,2020,1582.3363037109375,0.7891670238792013,Típico
TRF2_G1_50703750520194025101,5070375-05.2019.4.02.5101,Cumprimento de Sentença contra a Fazenda Pública,13ª Vara Federal,2019,804.8375244140622,0.5403718723306041,Típico
TRF2_JE_50028673820214025112,5002867-38.2021.4.02.5112,Procedimento do Juizado Especial Cível,Vara Federal de Itaperuna,2021,551.045654296875,0.3851035797579321,Típico
TRF2_JE_02017729020174025152,0201772-90.2017.4.02.5152,Procedimento do Juizado Especial Cível,6ª Vara Federal de Niterói,2017,816.0280151367185,0.5460599790311195,Lento
TRF2_JE_50015483120224025102,5001548-31.2022.4.02.5102,Cumprimento de Sentença contra a Fazenda Pública,7ª Vara Federal de Niterói,2022,706.1871337890627,0.4862603644635437,Lento
TRF2_G1_50187417620194025001,5018741-76.2019.4.02.5001,Execução Fiscal,4ª Vara de Execução Fiscal de Vitória,2019,1833.9368896484377,0.8306669500139545,Lento
TRF2_JE_50011955720194025114,5001195-57.2019.4.02.5114,Procedimento do Juizado Especial Cível,Vara Federal de Magé,2019,506.62921142578125,0.3521981867571151,Lento
TRF2_G2_00013728720134025156,0001372-87.2013.4.02.5156,Apelação / Remessa Necessária,Gabinete da Vice-Presidência,2016,1727.1278076171868,0.8144669540746498,Muito lento
TRF2_G1_50063493320214025002,5006349-33.2021.4.02.5002,Cumprimento de sentença,1ª Vara federal de cachoeiro de itapemirim,2021,1800.3933105468743,0.8257828073593474,Muito lento
TRF2_JE_50089695820214025118,5008969-58.2021.4.02.5118,Procedimento do Juizado Especial Cível,1ª Vara Federal de Duque de Caxias,2021,910.8092041015626,0.5908949552043186,Muito lento
TRF2_G2_01169789420144025006,0116978-94.2014.4.02.5006,Apelação Cível,GABINETE 12,2015,1803.3945312499995,0.8262271335378788,Muito lento
