classe_processual,ano_ajuizamento,n_orgaos,p10,p25,p75,p90,mediana
Agravo de Instrumento,2015,29,979.7967163085934,1066.4735107421873,1228.1790771484377,1231.22177734375,1228.1790771484377
Agravo de Instrumento,2016,32,754.734100341797,938.3489074707029,1035.365356445313,1085.0274414062503,1035.365356445313
Agravo de Instrumento,2017,33,561.5878906249999,726.3740844726562,790.4385375976561,798.2714965820313,790.4385375976561
Agravo de Instrumento,2018,34,333.9054077148437,390.64507293701166,449.67123413085943,479.7681213378906,449.67123413085943
Agravo de Instrumento,2019,34,289.84266357421876,321.3350601196289,349.1771545410155,386.1442718505858,349.1771545410155
Agravo de Instrumento,2020,36,247.13439178466797,292.22973632812506,320.074951171875,363.892349243164,320.074951171875
Agravo de Instrumento,2021,33,267.8162353515624,350.5106811523438,389.1483459472655,423.52849731445303,389.1483459472655
Agravo de Instrumento,2022,33,223.64097290039072,269.61547851562494,319.42312622070324,341.62341918945305,319.42312622070324
Agravo de Instrumento,2023,35,216.66796874999991,286.33848571777344,310.2614440917968,328.1591796875,310.2614440917968
Agravo de Instrumento,2024,38,192.82808685302732,222.79536819458008,255.52571105957028,264.5718261718751,255.52571105957028
Agravo de Instrumento,2025,36,168.495231628418,205.9365234375,248.02221679687491,251.44879150390625,248.02221679687491
Apelação / Remessa Necessária,2015,32,1256.134460449219,1452.3533325195312,1554.7396240234377,1802.6654418945313,1554.7396240234377
Apelação / Remessa Necessária,2016,31,986.2961425781255,1207.8689575195312,1269.6999511718748,1300.9857177734375,1269.6999511718748
Apelação / Remessa Necessária,2017,31,738.4516601562498,904.3458251953125,950.6394042968747,974.0634155273434,950.6394042968747
Apelação / Remessa Necessária,2018,33,459.33721923828136,563.9441528320311,586.6278076171875,651.3138916015623,586.6278076171875
Apelação / Remessa Necessária,2019,36,380.7739715576173,441.41515350341797,448.24223327636713,542.4298095703124,442.01986694335955
Apelação / Remessa Necessária,2020,33,305.7934143066405,377.3833007812499,405.17968749999994,466.98482666015616,405.17968749999994
Apelação / Remessa Necessária,2021,36,337.0363311767577,446.4760055541994,496.24008178710955,554.192413330078,496.24008178710955
Apelação / Remessa Necessária,2022,33,276.153857421875,339.5542907714845,404.3545837402344,433.34955444335935,404.3545837402344
Apelação / Remessa Necessária,2023,37,287.10461425781244,354.5580139160155,398.56314086914074,417.76334228515634,398.56314086914074
Apelação / Remessa Necessária,2024,38,225.42597045898447,260.99904632568354,317.65133666992193,331.3490264892579,317.65133666992193
Apelação / Remessa Necessária,2025,37,234.27295837402343,282.3599853515626,355.6908874511717,362.1016174316406,355.6908874511717
Apelação Cível,2015,32,1278.3857910156248,1464.1944580078127,1545.8599853515632,1780.7424072265626,1545.8599853515632
Apelação Cível,2016,34,795.5213928222657,1051.468048095703,1157.5245361328125,1256.2631835937498,1157.5245361328125
Apelação Cível,2017,36,639.4100036621094,844.7925720214846,927.4284057617184,1011.7610473632812,927.4284057617184
Apelação Cível,2018,35,396.31035766601576,506.2637481689453,575.7374877929688,665.7951171875002,575.7374877929688
Apelação Cível,2019,37,346.53356933593744,404.380615234375,439.49533081054676,537.1103027343751,439.49533081054676
Apelação Cível,2020,38,314.3199188232421,356.92198181152344,402.8655395507813,480.34657592773453,402.8655395507813
Apelação Cível,2021,38,328.1893371582032,455.6482162475585,493.4058532714843,575.8184814453126,493.4058532714843
Apelação Cível,2022,38,277.9325225830079,356.1951522827149,402.045135498047,459.95910339355487,402.045135498047
Apelação Cível,2023,38,274.3319885253906,351.4147720336915,396.28677368164057,413.8845458984377,396.28677368164057
Apelação Cível,2024,38,224.47521362304695,259.3361587524415,315.8370971679688,329.8623687744141,315.8370971679688
Apelação Cível,2025,38,232.71201934814445,264.6899185180665,343.4022521972655,351.62812805175787,343.4022521972655
Carta Precatória Cível,2015,28,148.1353759765625,148.1353759765625,172.75458908081055,189.17699584960937,149.43807220458984
Carta Precatória Cível,2016,32,130.82815551757818,130.82815551757818,150.0572509765625,170.8516021728516,130.82815551757818
