classe_processual,orgao_julgador,ano_ajuizamento,n
Agravo de Instrumento,CORREGEDORIA,2015,3
Agravo de Instrumento,CORREGEDORIA,2016,7
Agravo de Instrumento,CORREGEDORIA,2017,5
Agravo de Instrumento,CORREGEDORIA,2018,42
Agravo de Instrumento,CORREGEDORIA,2019,3
Agravo de Instrumento,Coordenadoria de Cumprimento de Diligências e Distribuição,2023,1
Agravo de Instrumento,Coordenadoria de Cumprimento de Diligências e Distribuição,2024,2
Agravo de Instrumento,GABINETE 01,2015,6
Agravo de Instrumento,GABINETE 01,2016,3
Agravo de Instrumento,GABINETE 01,2017,17
Agravo de Instrumento,GABINETE 01,2018,126
Agravo de Instrumento,GABINETE 01,2019,219
Agravo de Instrumento,GABINETE 01,2020,317
Agravo de Instrumento,GABINETE 01,2021,247
Agravo de Instrumento,GABINETE 01,2022,181
Agravo de Instrumento,GABINETE 01,2023,212
Agravo de Instrumento,GABINETE 01,2024,38
Agravo de Instrumento,GABINETE 01,2025,149
Agravo de Instrumento,GABINETE 02,2015,3
Agravo de Instrumento,GABINETE 02,2016,2
Agravo de Instrumento,GABINETE 02,2017,13
Agravo de Instrumento,GABINETE 02,2018,111
Agravo de Instrumento,GABINETE 02,2019,195
Agravo de Instrumento,GABINETE 02,2020,311
Agravo de Instrumento,GABINETE 02,2021,313
Agravo de Instrumento,GABINETE 02,2022,184
Agravo de Instrumento,GABINETE 02,2023,213
Agravo de Instrumento,GABINETE 02,2024,244
Agravo de Instrumento,GABINETE 02,2025,255
Agravo de Instrumento,GABINETE 03,2015,7
Agravo de Instrumento,GABINETE 03,2016,5
Agravo de Instrumento,GABINETE 03,2017,21
Agravo de Instrumento,GABINETE 03,2018,138
Agravo de Instrumento,GABINETE 03,2019,199
Agravo de Instrumento,GABINETE 03,2020,268
Agravo de Instrumento,GABINETE 03,2021,274
Agravo de Instrumento,GABINETE 03,2022,155
Agravo de Instrumento,GABINETE 03,2023,189
Agravo de Instrumento,GABINETE 03,2024,48
Agravo de Instrumento,GABINETE 03,2025,139
Agravo de Instrumento,GABINETE 04,2015,7
Agravo de Instrumento,GABINETE 04,2016,6
Agravo de Instrumento,GABINETE 04,2017,68
Agravo de Instrumento,GABINETE 04,2018,164
Agravo de Instrumento,GABINETE 04,2019,206
Agravo de Instrumento,GABINETE 04,2020,332
Agravo de Instrumento,GABINETE 04,2021,241
Agravo de Instrumento,GABINETE 04,2022,187
Agravo de Instrumento,GABINETE 04,2023,187
Agravo de Instrumento,GABINETE 04,2024,36
Agravo de Instrumento,GABINETE 04,2025,151
Agravo de Instrumento,GABINETE 05,2015,5
Agravo de Instrumento,GABINETE 05,2016,3
Agravo de Instrumento,GABINETE 05,2017,61
Agravo de Instrumento,GABINETE 05,2018,167
Agravo de Instrumento,GABINETE 05,2019,224
Agravo de Instrumento,GABINETE 05,2020,376
Agravo de Instrumento,GABINETE 05,2021,145
Agravo de Instrumento,GABINETE 05,2022,155
Agravo de Instrumento,GABINETE 05,2023,133
Agravo de Instrumento,GABINETE 05,2024,207
Agravo de Instrumento,GABINETE 05,2025,162
Agravo de Instrumento,GABINETE 06,2015,7
Agravo de Instrumento,GABINETE 06,2016,13
Agravo de Instrumento,GABINETE 06,2017,36
Agravo de Instrumento,GABINETE 06,2018,117
Agravo de Instrumento,GABINETE 06,2019,231
Agravo de Instrumento,GABINETE 06,2020,339
Agravo de Instrumento,GABINETE 06,2021,208
Agravo de Instrumento,GABINETE 06,2022,178
Agravo de Instrumento,GABINETE 06,2023,195
Agravo de Instrumento,GABINETE 06,2024,33
Agravo de Instrumento,GABINETE 06,2025,168
Agravo de Instrumento,GABINETE 07,2015,39
Agravo de Instrumento,GABINETE 07,2016,53
Agravo de Instrumento,GABINETE 07,2017,87
Agravo de Instrumento,GABINETE 07,2018,291
Agravo de Instrumento,GABINETE 07,2019,425
Agravo de Instrumento,GABINETE 07,2020,599
Agravo de Instrumento,GABINETE 07,2021,504
Agravo de Instrumento,GABINETE 07,2022,421
Agravo de Instrumento,GABINETE 07,2023,492
Agravo de Instrumento,GABINETE 07,2024,486
Agravo de Instrumento,GABINETE 07,2025,433
Agravo de Instrumento,GABINETE 08,2015,20
Agravo de Instrumento,GABINETE 08,2016,37
Agravo de Instrumento,GABINETE 08,2017,65
Agravo de Instrumento,GABINETE 08,2018,322
Agravo de Instrumento,GABINETE 08,2019,475
Agravo de Instrumento,GABINETE 08,2020,599
Agravo de Instrumento,GABINETE 08,2021,583
Agravo de Instrumento,GABINETE 08,2022,386
Agravo de Instrumento,GABINETE 08,2023,510
Agravo de Instrumento,GABINETE 08,2024,493
Agravo de Instrumento,GABINETE 08,2025,456
Agravo de Instrumento,GABINETE 09,2015,137
Agravo de Instrumento,GABINETE 09,2016,217
Agravo de Instrumento,GABINETE 09,2017,267
Agravo de Instrumento,GABINETE 09,2018,365
Agravo de Instrumento,GABINETE 09,2019,454
Agravo de Instrumento,GABINETE 09,2020,695
Agravo de Instrumento,GABINETE 09,2021,469
Agravo de Instrumento,GABINETE 09,2022,398
Agravo de Instrumento,GABINETE 09,2023,505
Agravo de Instrumento,GABINETE 09,2024,458
Agravo de Instrumento,GABINETE 09,2025,475
Agravo de Instrumento,GABINETE 10,2015,170
Agravo de Instrumento,GABINETE 10,2016,167
Agravo de Instrumento,GABINETE 10,2017,428
Agravo de Instrumento,GABINETE 10,2018,454
Agravo de Instrumento,GABINETE 10,2019,500
Agravo de Instrumento,GABINETE 10,2020,665
Agravo de Instrumento,GABINETE 10,2021,480
Agravo de Instrumento,GABINETE 10,2022,368
Agravo de Instrumento,GABINETE 10,2023,509
Agravo de Instrumento,GABINETE 10,2024,477
Agravo de Instrumento,GABINETE 10,2025,481
Agravo de Instrumento,GABINETE 11,2015,32
Agravo de Instrumento,GABINETE 11,2016,72
Agravo de Instrumento,GABINETE 11,2017,205
Agravo de Instrumento,GABINETE 11,2018,463
Agravo de Instrumento,GABINETE 11,2019,485
Agravo de Instrumento,GABINETE 11,2020,547
Agravo de Instrumento,GABINETE 11,2021,551
Agravo de Instrumento,GABINETE 11,2022,415
Agravo de Instrumento,GABINETE 11,2023,524
