ficheiro,ano,tipo,tamanho_mb,n_registos
trf2_2015_movimentos.parquet,2015,movimentos,16.74,1002908
trf2_2015_processos.parquet,2015,processos,6.08,95539
trf2_2016_movimentos.parquet,2016,movimentos,19.47,1146752
trf2_2016_processos.parquet,2016,processos,7.27,112136
trf2_2017_movimentos.parquet,2017,movimentos,24.34,1391076
trf2_2017_processos.parquet,2017,processos,9.6,144902
trf2_2018_movimentos.parquet,2018,movimentos,43.66,2483468
trf2_2018_processos.parquet,2018,processos,16.29,241545
trf2_2019_movimentos.parquet,2019,movimentos,62.53,3533901
trf2_2019_processos.parquet,2019,processos,24.57,359203
trf2_2020_movimentos.parquet,2020,movimentos,56.98,3234684
trf2_2020_processos.parquet,2020,processos,23.18,335175
trf2_2021_movimentos.parquet,2021,movimentos,78.68,4611798
trf2_2021_processos.parquet,2021,processos,34.06,496318
trf2_2022_movimentos.parquet,2022,movimentos,62.45,3541009
trf2_2022_processos.parquet,2022,processos,26.91,379488
trf2_2023_movimentos.parquet,2023,movimentos,73.78,4189049
trf2_2023_processos.parquet,2023,processos,35.06,489464
trf2_2024_movimentos.parquet,2024,movimentos,63.16,3531208
trf2_2024_processos.parquet,2024,processos,29.85,411812
trf2_2025_movimentos.parquet,2025,movimentos,62.69,3540885
trf2_2025_processos.parquet,2025,processos,32.25,456418
