estrato,n,n_eventos,n_censurados,pct_censura
Global,3498973,2887464,611509,17.48
Agravo de Instrumento,119183,111519,7664,6.43
Apelação / Remessa Necessária,38006,32148,5858,15.41
Apelação Cível,211360,189656,21704,10.27
Carta Precatória Cível,35991,35177,814,2.26
Cumprimento de Sentença contra a Fazenda Pública,414072,345659,68413,16.52
Cumprimento de sentença,244862,207298,37564,15.34
Embargos à Execução,19489,16677,2812,14.43
Embargos à Execução Fiscal,18916,15247,3669,19.4
Execução Fiscal,378423,200407,178016,47.04
Execução de Título Extrajudicial,78127,44884,33243,42.55
Mandado de Segurança Cível,148964,131491,17473,11.73
Outras classes,171250,141781,29469,17.21
Procedimento Comum Cível,162383,102378,60005,36.95
Procedimento do Juizado Especial Cível,1088503,963580,124923,11.48
Recurso Inominado Cível,340163,320505,19658,5.78
Remessa Necessária Cível,29281,29057,224,0.77
