variavel,gain,gain_relativo
classe_processual_Execução Fiscal,25004.23,0.118
classe_processual_Carta Precatória Cível,5002.99,0.0236
orgao_julgador_Gabinete da Vice-Presidência,4686.05,0.0221
orgao_julgador_Gabinete do Juízo Gestor das Turmas Recursais,4550.02,0.0215
ano_ajuizamento_2015,4180.84,0.0197
ano_ajuizamento_2016,3876.53,0.0183
orgao_julgador_8ª Vara Federal de São João de Meriti,3682.0,0.0174
ano_ajuizamento_2017,3571.89,0.0169
classe_processual_Recurso Inominado Cível,3309.63,0.0156
orgao_julgador_Setor de Distribuição do Rio de Janeiro (Rio Branco),3163.19,0.0149
orgao_julgador_4ª Turma Recursal - Juiz Relator 2 - RJ,2959.37,0.014
classe_processual_Execução de Título Extrajudicial,2804.33,0.0132
orgao_julgador_Setor de Distribuição do Rio de Janeiro,2731.76,0.0129
orgao_julgador_Subsecretaria de Distribuição de Atividades Judiciárias,2646.15,0.0125
orgao_julgador_1ª Vara federal de cachoeiro de itapemirim,2562.26,0.0121
orgao_julgador_11ª Vara de Execução Fiscal do Rio de Janeiro,2323.75,0.011
orgao_julgador_Vara Federal de Resende,2099.32,0.0099
orgao_julgador_Núcleo Permanente de Métodos Consensuais de Solução de Conflitos,2018.58,0.0095
orgao_julgador_Gabinete do Juízo Vice-Gestor das Turmas Recursais,2015.57,0.0095
orgao_julgador_GABINETE 17,1915.49,0.009
