variavel,gain,gain_relativo
classe_processual_Execução Fiscal,25004.23,0.118
classe_processual_Carta Precatória Cível,5002.99,0.0236
orgao_julgador_Gabinete da Vice-Presidência,4686.05,0.0221
orgao_julgador_Gabinete do Juízo Gestor das Turmas Recursais,4550.02,0.0215
ano_ajuizamento_2015,4180.84,0.0197
ano_ajuizamento_2016,3876.53,0.0183
orgao_julgador_8ª Vara Federal de São João de Meriti,3682.0,0.0174
ano_ajuizamento_2017,3571.89,0.0169
classe_processual_Recurso Inominado Cível,3309.63,0.0156
orgao_julgador_Setor de Distribuição do Rio de Janeiro (Rio Branco),3163.19,0.0149
orgao_julgador_4ª Turma Recursal - Juiz Relator 2 - RJ,2959.37,0.014
classe_processual_Execução de Título Extrajudicial,2804.33,0.0132
orgao_julgador_Setor de Distribuição do Rio de Janeiro,2731.76,0.0129
orgao_julgador_Subsecretaria de Distribuição de Atividades Judiciárias,2646.15,0.0125
orgao_julgador_1ª Vara federal de cachoeiro de itapemirim,2562.26,0.0121
orgao_julgador_11ª Vara de Execução Fiscal do Rio de Janeiro,2323.75,0.011
orgao_julgador_Vara Federal de Resende,2099.32,0.0099
orgao_julgador_Núcleo Permanente de Métodos Consensuais de Solução de Conflitos,2018.58,0.0095
orgao_julgador_Gabinete do Juízo Vice-Gestor das Turmas Recursais,2015.57,0.0095
orgao_julgador_GABINETE 17,1915.49,0.009
ano_ajuizamento_2022,1786.9,0.0084
orgao_julgador_1ª Turma Recursal - Juiz Relator 3 - RJ,1765.79,0.0083
orgao_julgador_5ª Vara Federal de Nova Iguaçu,1697.05,0.008
classe_processual_Procedimento Comum Cível,1648.55,0.0078
orgao_julgador_7ª Vara Federal de São João de Meriti,1593.09,0.0075
orgao_julgador_1ª Turma Recursal - Juiz Relator 1 - RJ,1585.25,0.0075
"orgao_julgador_Seção de Distr., Atend. e Apoio Adm.",1546.94,0.0073
classe_processual_Cumprimento de Sentença contra a Fazenda Pública,1497.02,0.0071
orgao_julgador_9º Juizado Especial Federal do Rio de Janeiro,1483.42,0.007
orgao_julgador_GABINETE 18,1447.38,0.0068
classe_processual_Cumprimento de sentença,1429.26,0.0067
orgao_julgador_3ª Turma Recursal - Juiz Relator 3 - RJ,1369.52,0.0065
classe_processual_Remessa Necessária Cível,1360.15,0.0064
orgao_julgador_2ª Turma Recursal - Juiz Relator 2 - RJ,1340.53,0.0063
orgao_julgador_1ª Vara Federal Criminal de Vitória,1334.81,0.0063
orgao_julgador_Diretoria de Volta Redonda,1308.41,0.0062
orgao_julgador_1ª Vara Federal de Volta Redonda,1281.95,0.0061
orgao_julgador_2ª Turma Recursal - Juiz Relator 1 - ES,1264.62,0.006
orgao_julgador_3ª Turma Recursal - Juiz Relator 1 - RJ,1253.18,0.0059
orgao_julgador_3ª Turma Recursal - Juiz Relator 2 - RJ,1223.85,0.0058
orgao_julgador_3ª Vara Federal de Volta Redonda,1223.49,0.0058
orgao_julgador_1ª Turma Recursal - Juiz Relator 2 - RJ,1193.98,0.0056
orgao_julgador_1ª Vara Federal de Itaboraí,1118.59,0.0053
orgao_julgador_GABINETE 21,1077.75,0.0051
orgao_julgador_9ª Vara Federal,1033.83,0.0049
orgao_julgador_8º Juizado Especial Federal do Rio de Janeiro,1032.59,0.0049
orgao_julgador_5ª Turma Recursal - Juiz Relator 3 - RJ,1023.93,0.0048
orgao_julgador_GABINETE 30,1023.61,0.0048
orgao_julgador_Setor de Distribuição Criminal de Niterói,1016.39,0.0048
orgao_julgador_7º Juizado Especial Federal do Rio de Janeiro,1006.57,0.0048
orgao_julgador_1ª Vara Federal de Campos,979.82,0.0046
ano_ajuizamento_2025,977.17,0.0046
orgao_julgador_2º Juizado Especial Federal de Vitória,974.34,0.0046
orgao_julgador_Diretoria de Itaperuna,958.38,0.0045
orgao_julgador_Vara Federal de Angra dos Reis,951.43,0.0045
orgao_julgador_8ª Turma Recursal - Juiz Relator 1 - RJ,933.84,0.0044
orgao_julgador_GABINETE 14,931.53,0.0044
orgao_julgador_Vara Federal de Magé,924.64,0.0044
orgao_julgador_7ª Turma Recursal - Juiz Relator 2 - RJ,898.02,0.0042
"orgao_julgador_Seção Contadoria, Distr. Cert. S. Mateus",879.83,0.0042
orgao_julgador_8ª Vara Federal do Rio de Janeiro,877.42,0.0041
orgao_julgador_15ª Vara Federal do Rio de Janeiro,863.65,0.0041
orgao_julgador_6ª Vara Federal de São João de Meriti,846.43,0.004
orgao_julgador_Diretoria de São João de Meriti,826.32,0.0039
orgao_julgador_4ª Vara Federal de Volta Redonda,823.64,0.0039
orgao_julgador_GABINETE 15,803.35,0.0038
orgao_julgador_4ª Vara Federal de São Gonçalo,796.97,0.0038
orgao_julgador_GABINETE 16,796.51,0.0038
orgao_julgador_Diretoria de Petrópolis,792.02,0.0037
