classe,n_teste,mu_mediano,t_previsto_med_d,t_mediana_curva_d,S(6 meses),S(1 ano),S(2 anos),S(3 anos),S(5 anos)
Procedimento do Juizado Especial Cível,217576,5.96,388.0,390.0,0.7838,0.5248,0.2554,0.1403,0.0538
Cumprimento de Sentença contra a Fazenda Pública,82928,6.377,588.0,600.0,0.8885,0.6899,0.4113,0.2593,0.1198
Execução Fiscal,75749,7.409,1651.0,1680.0,0.989,0.9415,0.8017,0.6652,0.4586
Recurso Inominado Cível,67948,5.107,165.0,180.0,0.4599,0.2051,0.0614,0.0247,0.0063
Cumprimento de sentença,49163,6.399,601.0,630.0,0.8928,0.698,0.4202,0.2668,0.1245
Apelação Cível,42275,5.997,402.0,420.0,0.7948,0.54,0.2678,0.149,0.0581
Outras classes,33999,5.606,272.0,300.0,0.6619,0.3801,0.1527,0.0741,0.024
Procedimento Comum Cível,32320,6.645,769.0,780.0,0.9328,0.7807,0.5217,0.3569,0.1848
Mandado de Segurança Cível,29920,5.662,288.0,300.0,0.6829,0.4025,0.1668,0.0826,0.0275
Agravo de Instrumento,23942,5.737,310.0,330.0,0.7102,0.433,0.1871,0.0951,0.0329
Execução de Título Extrajudicial,15502,6.86,953.0,960.0,0.9573,0.8407,0.6093,0.4429,0.2501
Apelação / Remessa Necessária,7579,6.091,442.0,450.0,0.8216,0.5788,0.3012,0.173,0.0704
Carta Precatória Cível,7258,3.489,33.0,60.0,0.0375,0.0061,0.0006,0.0001,0.0
Remessa Necessária Cível,5930,5.295,199.0,210.0,0.5377,0.265,0.0888,0.0384,0.0107
Embargos à Execução,3867,6.152,470.0,480.0,0.8376,0.6033,0.3235,0.1896,0.0793
Embargos à Execução Fiscal,3839,6.43,620.0,630.0,0.8985,0.7089,0.4326,0.2773,0.131
