orgao,classe,n_classe_orgao,t_mediano_orgao_d,t_mediano_restantes_d,racio,S(2 anos)
Subsecretaria de Distribuição de Atividades Judiciárias,Carta Precatória Cível,669,1664.0,74.0,22.47,0.804
Gabinete da Vice-Presidência,Agravo de Instrumento,7909,2143.0,319.0,6.71,0.8684
Gabinete da Vice-Presidência,Apelação / Remessa Necessária,7702,2009.0,404.0,4.97,0.8535
Gabinete da Vice-Presidência,Remessa Necessária Cível,279,1101.0,222.0,4.96,0.6651
Gabinete da Vice-Presidência,Apelação Cível,23159,1980.0,402.0,4.93,0.85
Núcleo Permanente de Métodos Consensuais de Solução de Conflitos,Procedimento Comum Cível,93,3073.0,713.0,4.31,0.9323
Gabinete da Vice-Presidência,Outras classes,1158,768.0,253.0,3.03,0.5212
Gabinete do Juízo Gestor das Turmas Recursais,Recurso Inominado Cível,28436,512.0,175.0,2.92,0.3559
4ª Turma Recursal - Juiz Relator 2 - RJ,Recurso Inominado Cível,11751,502.0,175.0,2.87,0.3489
1ª Vara federal de cachoeiro de itapemirim,Cumprimento de sentença,1185,1533.0,600.0,2.55,0.7794
1ª Vara federal de cachoeiro de itapemirim,Procedimento Comum Cível,1750,1741.0,713.0,2.44,0.8167
1ª Vara federal de cachoeiro de itapemirim,Embargos à Execução,142,944.0,402.0,2.35,0.6053
1ª Vara federal de cachoeiro de itapemirim,Procedimento do Juizado Especial Cível,11089,910.0,388.0,2.35,0.5905
1ª Vara federal de cachoeiro de itapemirim,Cumprimento de Sentença contra a Fazenda Pública,905,1384.0,595.0,2.33,0.7468
1ª Vara federal de cachoeiro de itapemirim,Execução de Título Extrajudicial,901,1604.0,699.0,2.3,0.7933
Vara Federal de Magé,Cumprimento de Sentença contra a Fazenda Pública,787,1298.0,595.0,2.18,0.7251
8ª Vara Federal do Rio de Janeiro,Outras classes,1180,538.0,253.0,2.12,0.3755
4ª Vara Federal de Campos,Outras classes,161,518.0,253.0,2.05,0.3611
Gabinete do Juízo Vice-Gestor das Turmas Recursais,Recurso Inominado Cível,11658,355.0,175.0,2.02,0.2266
