classe,orgao,n_classe_orgao,t_mediano_orgao_d,t_mediano_restantes_d,racio,S(2 anos),anomalia
Procedimento do Juizado Especial Cível,2º Juizado Especial Federal de Vitória,46958,469.2910766601564,387.5628356933592,1.2108773944245284,0.3231,False
Procedimento do Juizado Especial Cível,5ª Vara Federal do Rio de Janeiro,24584,387.5628356933592,387.5628356933592,1.0,0.2554,False
Procedimento do Juizado Especial Cível,1ª Vara Federal de Serra,24119,397.3100280761717,387.5628356933592,1.025149966625088,0.2637,False
Procedimento do Juizado Especial Cível,Vara Federal de Colatina,23615,422.56057739257807,387.5628356933592,1.0903021096865675,0.2851,False
Procedimento do Juizado Especial Cível,35ª Vara Federal do Rio de Janeiro,23275,364.1468505859375,387.5628356933592,0.9395814486042503,0.235,False
Procedimento do Juizado Especial Cível,34ª Vara Federal do Rio de Janeiro,22874,313.0081176757813,387.5628356933592,0.8076319214555293,0.1895,False
Procedimento do Juizado Especial Cível,1º Juizado Especial Federal de Vitória,22770,387.5628356933592,387.5628356933592,1.0,0.2554,False
Procedimento do Juizado Especial Cível,33ª Vara Federal do Rio de Janeiro,22303,387.5628356933592,387.5628356933592,1.0,0.2554,False
Procedimento do Juizado Especial Cível,1ª Vara Federal do Rio de Janeiro,22280,316.4867248535156,387.5628356933592,0.8166075167845062,0.1927,False
Procedimento do Juizado Especial Cível,Vara Federal de Itaperuna,22240,387.5628356933592,387.5628356933592,1.0,0.2554,False
Procedimento do Juizado Especial Cível,Vara Federal de Magé,21934,480.7760925292969,387.5628356933592,1.2405113397139251,0.3322,False
Procedimento do Juizado Especial Cível,Vara Federal de Macaé,20415,387.5628356933592,387.5628356933592,1.0,0.2554,False
Procedimento do Juizado Especial Cível,15ª Vara Federal do Rio de Janeiro,20283,387.5628356933592,387.5628356933592,1.0,0.2554,False
Procedimento do Juizado Especial Cível,3º Juizado Especial Federal de Vitória,20180,381.2915954589843,387.5628356933592,0.9838187781262476,0.25,False
Procedimento do Juizado Especial Cível,15º Juizado Especial Federal do Rio de Janeiro,19369,452.78051757812506,387.5628356933592,1.1682764080515868,0.3099,False
