horizonte,decil,n,eventos,S_previsto_medio,S_observado_KM,IC_95_inf,IC_95_sup
1 ano,1,8000,7731,0.1418,0.0817,0.0758,0.0879
1 ano,2,8000,7143,0.3469,0.2914,0.2814,0.3015
1 ano,3,8000,6726,0.4409,0.4119,0.4009,0.4228
1 ano,4,8000,6926,0.5026,0.5098,0.4987,0.5209
1 ano,5,8000,7293,0.5596,0.5824,0.5715,0.5932
1 ano,6,8000,6851,0.6307,0.6863,0.6759,0.6964
1 ano,7,8000,6641,0.6885,0.7844,0.7752,0.7933
1 ano,8,8000,6345,0.7644,0.8598,0.852,0.8673
1 ano,9,8000,4926,0.8812,0.9121,0.9056,0.9181
1 ano,10,8000,5437,0.9676,0.972,0.9681,0.9754
2 anos,1,8000,7731,0.0402,0.0455,0.0409,0.0505
2 anos,2,8000,7143,0.1334,0.1318,0.1241,0.1398
2 anos,3,8000,6726,0.1928,0.1788,0.1696,0.1881
2 anos,4,8000,6926,0.238,0.2182,0.2087,0.2279
2 anos,5,8000,7293,0.2846,0.2519,0.2422,0.2618
2 anos,6,8000,6851,0.3501,0.3473,0.3364,0.3583
2 anos,7,8000,6641,0.41,0.4374,0.426,0.4487
2 anos,8,8000,6345,0.5013,0.6003,0.5892,0.6112
2 anos,9,8000,4926,0.6811,0.7943,0.7849,0.8032
2 anos,10,8000,5437,0.8767,0.9274,0.9214,0.9329
5 anos,1,8000,7731,0.004,0.014,0.0109,0.0178
5 anos,2,8000,7143,0.0198,0.0497,0.0436,0.0564
5 anos,3,8000,6726,0.0345,0.0525,0.0461,0.0595
5 anos,4,8000,6926,0.0481,0.0486,0.0428,0.0549
5 anos,5,8000,7293,0.0643,0.056,0.0505,0.0618
5 anos,6,8000,6851,0.0909,0.0471,0.0418,0.0528
5 anos,7,8000,6641,0.1193,0.0582,0.0522,0.0646
5 anos,8,8000,6345,0.1723,0.1316,0.1231,0.1404
5 anos,9,8000,4926,0.3198,0.3215,0.3091,0.334
5 anos,10,8000,5437,0.5991,0.7148,0.7046,0.7248
