classe_processual,n_terminados,media,mediana,Q1,Q3
Agravo de Instrumento,111519,407.0,260.1,161.8,499.9
Apelação / Remessa Necessária,32148,724.2,534.9,232.0,1019.7
Apelação Cível,189656,581.3,389.3,182.1,793.0
Carta Precatória Cível,35177,85.7,28.9,10.9,85.8
Cumprimento de Sentença contra a Fazenda Pública,345659,691.8,526.0,349.9,827.2
Cumprimento de sentença,207298,786.2,546.7,337.2,986.6
Embargos à Execução,16677,789.2,597.8,296.3,1120.9
Embargos à Execução Fiscal,15247,991.7,838.9,358.9,1454.9
Execução Fiscal,200407,1721.7,1942.1,702.2,2569.0
Execução de Título Extrajudicial,44884,1016.6,726.9,314.2,1469.7
Mandado de Segurança Cível,131491,370.8,234.0,124.0,438.8
Outras classes,141781,529.5,201.0,69.5,753.9
Procedimento Comum Cível,102378,859.9,728.9,294.1,1252.9
Procedimento do Juizado Especial Cível,963580,574.3,398.1,184.3,839.8
Recurso Inominado Cível,320505,273.8,139.1,76.0,301.8
Remessa Necessária Cível,29057,276.6,154.9,109.1,264.2
